#code, positionSn, label, pathUrl, type, iconName
menu.self, 1, 我的账户, ,MENU,
menu.self.profile, 1, 个人资料, profile,MENU,
menu.self.password, 2, 修改密码, password,MENU,
menu.self.setting, 3, 个人偏好, setting,MENU,
menu.self.logout, 8, 退出, logout,MENU,
menu.system, 2, 系统管理, ,MENU ,
menu.system.useraccount, 1, 用户信息, modelview/useraccount, MENU,
menu.system.functionality, 2, 功能信息, modelview/functionality, MENU,
menu.system.role, 3, 角色信息, modelview/role, MENU,
menu.system.report, 4, 报表信息, modelview/report, MENU,
menu.system.report.task, 4, 报表任务, modelview/reporttask, MENU,
menu.system.report.result, 4, 报表结果, modelview/reportresult, MENU,
menu.system.fieldspec, 5, 模型属性说明, modelview/fieldspec, MENU,
menu.system.modelspec, 6, 模型说明, modelview/modelspec, MENU,
menu.system.country, 7, 国家管理, modelview/country, MENU,
menu.system.emaildraft, 8, 邮件草稿, modelview/emaildraft, MENU,
menu.system.scheduler, 9, 定时任务, modelview/scheduler, MENU,
menu.system.resource, 10, 国际化资源, modelview/i18nresource, MENU,
menu.system.loginaudit, 11, 登录日志, modelview/loginaudit, MENU,
